YEAR;CODIGO DEPARTAMENTO;DEPARTAMENTO;POBLACION 5-16;TASA MATRICULACION 5-16;COBERTURA NETA;COBERTURA NETA TRANSICION;COBERTURA NETA PRIMARIA;COBERTURA NETA SECUNDARIA;COBERTURA NETA MEDIA;TAMANO PROMEDIO DE GRUPO;SEDES CONECTADAS A INTERNET;DESERCION;DESERCION TRANSICION;DESERCION PRIMARIA;DESERCION SECUNDARIA;DESERCION MEDIA;APROBACION;APROBACION TRANSICION;APROBACION PRIMARIA;APROBACION SECUNDARIA;APROBACION MEDIA;REPROBACION;REPROBACION TRANSICION;REPROBACION PRIMARIA;REPROBACION SECUNDARIA;REPROBACION MEDIA
2019;76;Valle del Cauca;854.243;8.168;8.146;5.595;7.671;7.269;4.195;;;392;475;336;47;298;8.884;9.454;9.113;845;9.121;725;71;551;108;581
2019;81;Arauca;64.095;9.309;9.306;5.817;9.177;7.322;3.731;;;402;498;366;473;246;9.531;949;9.573;9.442;9.665;67;12;61;85;89
2019;85;Casanare;93.431;9.346;9.343;6.921;9.144;809;4.498;;;301;396;267;354;207;9.013;9.578;9.248;8.494;9.296;686;26;485;1.152;497
2019;86;Putumayo;80.890;8.483;8.483;4.843;8.113;7.212;3.716;;;539;581;371;732;572;857;9.361;8.975;79;8.549;891;58;654;1.368;879
2019;88;Archipiélago de San Andrés, Providencia y Santa Catalina;11.002;9.192;9.187;7.312;9.097;8.213;4.997;;;208;131;208;244;149;8.864;9.788;9.151;8.235;9.032;928;82;641;1.521;819
2019;91;Amazonas;22.435;814;814;5.319;789;6.064;2.973;;;417;64;276;517;603;8.823;9.321;911;8.353;8.385;76;39;614;113;1.013
2019;94;Guainia;15.808;6.626;6.626;4.864;6.719;3.146;869;;;57;634;458;747;695;7.865;9.067;7.938;7.128;8.456;1.565;3;1.603;2.125;849
2019;95;Guaviare;21.301;8.311;8.309;4.211;7.969;6.844;3.038;;;447;667;4;495;337;8.803;9.264;9.054;8.299;8.929;75;69;546;1.206;735
2019;97;Vaupes;15.675;5.233;5.233;2.263;5.502;2.999;1.308;;;304;482;18;508;329;9.008;9.495;9.185;864;882;688;23;635;852;85
2019;99;Vichada;33.198;5.551;5.551;3.598;5.919;25;873;;;763;7;745;896;478;7.492;9.097;713;7.656;8.631;1.744;204;2.126;1.448;892
2020;5;Antioquia;1.151.149;9.359;9.343;7.025;8.826;8.338;4.745;;;23;223;198;272;221;8.997;9.697;9.219;8.581;9.067;773;79;583;1.146;712
2020;8;Atlantico;542.750;9.275;9.238;6.416;8.939;7.867;4.983;;;141;14;146;149;1;9.404;9.548;9.441;9.264;9.583;455;312;414;588;317
2020;11;Bogota, D.C.;1.181.597;9.641;9.589;6.915;9.379;8.906;573;;;46;52;5;38;55;944;9.906;9.629;9.211;9.212;514;42;321;751;733
